3199.0	3183.0	3206.0	3208.0	3186.0	3246.0	1441.0	2.48	9.74	-3.02	3.01	-0.59	0.16
3209.0	3182.0	3269.0	3292.0	3164.0	3184.0	1446.0	1.66	10.2	-2.9	2.66	-0.87	1.29
3171.0	3168.0	3209.0	3192.0	3171.0	3186.0	1451.0	1.09	10.44	-4.01	2.17	-0.65	1.53
3468.0	3173.0	3199.0	3193.0	3157.0	3180.0	1457.0	1.12	8.22	-5.93	1.55	-0.51	1.17
3190.0	3167.0	3203.0	3199.0	3168.0	3184.0	1462.0	1.48	7.76	-7.04	1.42	-0.3	0.57
3166.0	3173.0	3204.0	3197.0	3191.0	3179.0	1467.0	2.2	8.28	-5.69	1.19	0.1	-0.06
3421.0	3170.0	3199.0	3200.0	3154.0	3181.0	1472.0	1.61	7.79	-4.83	0.7	0.24	0.04
3188.0	3175.0	3200.0	3199.0	3177.0	3240.0	1478.0	-0.7	8.08	-2.11	-0.17	-0.19	-0.59
3197.0	3214.0	3232.0	3234.0	3220.0	3192.0	1483.0	0.08	10.73	-6.91	-0.4	-0.09	-0.21
3438.0	3198.0	3316.0	3324.0	3196.0	3201.0	1488.0	2.46	6.54	-7.32	0.03	0.22	0.15
3225.0	3239.0	3243.0	3219.0	3202.0	3235.0	1493.0	1.72	6.65	-7.12	0.01	0.05	0.06
3210.0	3238.0	3252.0	3279.0	3203.0	3244.0	1499.0	1.27	6.45	-7.07	0.15	-0.04	-0.03
3462.0	3287.0	3318.0	3322.0	3214.0	3287.0	1504.0	1.19	6.34	-7.2	0.17	0.0	0.01
3317.0	3228.0	3220.0	3204.0	3175.0	3320.0	1509.0	1.44	6.2	-7.15	0.19	-0.03	0.01
3309.0	3220.0	3215.0	3222.0	3165.0	3433.0	1515.0	1.0	6.14	-7.39	0.18	-0.01	0.06
3780.0	3398.0	3214.0	3206.0	3189.0	3573.0	1520.0	1.24	5.84	-7.52	0.1	0.11	0.15
3432.0	3277.0	3263.0	3278.0	3264.0	3679.0	1525.0	1.79	5.92	-7.37	-0.02	0.18	0.17
3498.0	3356.0	3339.0	3441.0	3599.0	3825.0	1531.0	1.66	5.63	-7.19	-0.09	0.03	0.04
3702.0	3447.0	3517.0	3980.0	4236.0	4577.0	1536.0	1.32	6.09	-7.29	-0.16	-0.05	-0.06
3558.0	3434.0	3419.0	3374.0	3330.0	3551.0	1541.0	1.26	6.25	-7.31	-0.15	0.05	0.01
3551.0	3455.0	3392.0	3361.0	3367.0	3585.0	1546.0	1.53	6.18	-7.15	-0.12	0.15	0.08
3937.0	3470.0	3277.0	3258.0	3225.0	3330.0	1552.0	1.53	6.12	-7.18	-0.13	0.17	0.09
3455.0	3389.0	3214.0	3200.0	3175.0	3220.0	1557.0	1.88	6.05	-7.19	-0.25	0.24	0.11
